fishing boats,colors of,the rainbow
No Fucking with the, ecosystem is never,a good idea
All things considered, that might be the best Navy,drive of the season
A relatively, inexpensive set it seems,apart from Jasmine
I told Jovan and, he doesn't like the Muslim,men liking me lol
Feeling super blessed, In my bag going crazy,Link in my bio
Solo was fun And, very well written Such a,good Star wars movie
Serene fell out of, bed last night It be scaring,the shit out of me
Always blaming me, and spreading rumours is that,the best you can do
im jealous of all, the people who get to see,you every day
It looks like someone, wants to sponsor the kittens,I'm adopting What
Jessie J is so, beyond underrated she,can sing her ass off
Crosswords Coffee The, Shannon Benjamin Story,morning edition
My little went to, Thomas Hammer and ordered,just a cup of milk
i see people act, different when you make em,do they part shit sad
God is putting me, through some craziness but I,know he's looking out
Lol Depends on who, you had sex with maybe you,had a boring sex
I've got something to, tell you I love when rain and,leaves are falling down
You drink alcohol, I eat negativity,Sounds just about right
RAVEN BLADE Fly to, Texas and interrogate,them by gunpoint LOL
I'm so lazy right, now so I asked Siri to,tweet for me instead
If that gonna have, me hitting my girl high notes,like this I WANT IT
how anybody, uses windows on a real,job application
You are awesome Makes, me happy Follow me please,I love you so much
People need to stop, speaking for everyone I,can't relate either
I wonder if we, ever cried at the same time,for the same reason
Trap Horrible trap, At one's birth it is sprung Some,last day must arrive
ain't nothing better, than waking up finding out,your class is canceled
abba is one of, the few things where straights out gay,the gays in liking
It's not even that, hard It's just full of stupid,enemy placement
remember when I, was serving up gooch dogs and,living my best life
People pay money, to see others believe in,themselves kim gordon
I been grinding non, stop lately i think it's time,for another trip
You must of never, heard Kevin Hart go tell Miss,Green what his mom said
I didn't know I, needed this video in,my life until now
HEY ACE FAMILY, I'm patiently waiting for,a new video
Don't wait around for, something to strike a chord Go,Create Multiply
people are salty, when they see you moving up,it is what it is
So much hatred for, humans I just don't know what,to do with myself
So doing bottle, service makes you a public,figure now ok
I've been channeling, a lot of drinking alone,energy in LA
whoever voted, for the bottom one gotta,be from the midwest
Not being funny, but Oh Polly's swimwear for,this year is amaze
Everybody from, Twitter who I followed last,night added me back
Can someone roll me, a fat blunt and carry me,to bed already
I swear every, movie I wanna see I,see it with my girl
Looking back at old, messages is probably,the worst thing to do
I want some coffee, but then again I want my,intestines intact
I really wish I, was going to Disneyland,during Christmas time
Everywhere except, Jacksonville and Buffalo,per NFL rules
My mom bought captain, morgan and brandy Tonight's,gonna be a mess
being single and, having no one to talk to,is so annoying
y'all making me not, even wanting to see black,panther anymore
IS HE BEING HIT, ON BY ANOTHER GOD HE'S,GOING BACK TO BED
Why everybody, kissing the trophy lol I,know that boy dirty
Emily and I, have been out all morning time,to go home to Dad
Today is up there, in terms of being really,extremely shitty
Every seconds, soak in sadness Every,weekend is a war
I literally, relied on you for ONE thing,to WAKE ME UP BITCH
Finished my birthday, over a bucket and I,wasn't even drunk
I can't guarantee, any of those days but I'll,make it if I can
Wade's a magician, Any other guys besides,Rex that you would like
I'll be getting mine, next Friday I can't wait to,see you and Aaron
And the Lead Pastor, had a stone with him as an,object lesson Ugh
Then I realized, there was nothing good to say,about everything
I find Doing house, chores or working out side is,the best exercise
My cousin said I, need a treatment YEAH BITCH A,HAIR TREATMENT BALD HEAD
Removing a loved, one far more difficult than,accept a new love
I could turn deserts, into forests from all the,tears you made me shed
Whatever we build, gotta be able to stand,when im not around
Y'all ever take a, shit so crazy you gotta,take all your clothes off
This is clearly the, week of me cancelling men,that I thought I liked
Being wine drunk is, a whole different type of,drunk lemme tell you
Florence's ruby, eyes began to water His,voice wouldn't calm down
You can change someone's, life in three minutes with the,right song Bruce Springsteen
Stand up Press forward, Move on Don't cry We'll make it,through the night for sure
Every sport that, isn't prominently black,always you to fight
If Kyle Korver blocks, your shot you have to retire,immediately
OH DAMN Something showed, up in this episode that,is monumental
can't get mad about, someone that kiss every,piece of my body
help me understand, you love help me go the way,you want me to go
Whatever you do, just remember to keep it,real like Ian Beale
When you realize, you made a mistake and had,to delete your tweet
haven't been thinking, about samuel since he keeps,fucking up his hair
how will the online, submissions people know if,we made it or not
What comes easy won, t last long and what lasts long,won t come easy
I would rather step, on glass then watch another,minute of pub g
I hate people that, want something with out working,for it how that work
So excited to, go to work and talk shit with,all my coworkers
Very excited, to see what you're going to,be getting up to
Going to the thrift, store this week because I need,more shirts that fit me
Adventure may be, dangerous but routine is,certainly lethal
The future is so, unknown I'm ready to see,what it throws at me
I'm dying to see, Sanchez play now he'll flourish,with this style of play
Stop setting yourself, on fire for someone who,stays to watch your burn
Mashed potatoes and, gravy corn steamed broccoli,and Hawaiian rolls
If you're wearing Red, Sox gear today I respect,you and your choices
You couldn't even, if you wanted to your name,is all over it
Tomorrow betta, go as planned I wanna run,into no bullshit
Why do people still, have their Christmas lights up like,how lazy are you
I'm just ready to, see Meghan and Harry go,on the balcony
When your color grade, is so different when viewed,in different screens
My car didn't start, this morning Very much how,I feel today too
Wish I celebrate, Christmas I would've asked for,some serotonin
You've never known true, happiness until you've cleaned,your French window frame
interrupted sleep, is SO exhausting it feels,like no sleep at all
a thread intended, for all the photos i did,not upload before
Hey wonderful girl, Regardless happy birthday,and happy new year
Who is calling these, fucking plays That's the worst call,I've seen in a while
College Grading A, A B C C D D F,F You done fucked up
I really wanted, to paint tonight Work really,fucked that up for me
I really need to, stop buying books There's no more,room on my bookshelf
divide and conquer, aided by the media,divided britain
BREAKING White House chief, economic adviser,Gary Cohn resigns
a poverty is, a prince subservient but,not symptomatic
How are you going, to laugh at yourself but not,even move your face
I'd tell everyone, how disgusting you are but,you do that yourself
I want more platforms, to speak publicly about,globalized issues
absolutely beg, you drop spicy noodles at,Switch tonight love u
There's a single light, in the graveyard Just in the,middle of it Huh
Bitches be so fake, lol I'm glad I ain't got to,deal with nun of that
I'm just trying to, nap and my cat won't leave mY,FUCKING FEET ALONE
I have a feeling, someone is going get me,an iPhone X soon
Could never live check, to check had to protect my,neck no struggling
i've gotten into, so many blink dramas im,basically a pro
I hope everyone, is fine You guys are making,me really worried
I'm literally, so fucking annoyed i want,to rip my hair out
Are the new Loading, Ready Run shirts going to,be on the store soon
sorry i haven't, been on i've been sleeping all,day and relaxing
I hate pretty girls, w boyfriends Cause I'm,to respectful lol
Yep that doesn't look, like they've ripped off another,bit of Western tech
You're our Featured, Post Let us know your comments,on the review thanks
when beyonce said, if i were a boy i bet,all the dikes felt that
Stony Hill has so, many hype songs This album,deserved the Grammy
United winning, Real Madrid scored a goal What's,fucking going on
I'm going to see, if I can buy the lip tints,tomorrow let's see
I've came along ass, way Im extremely blessed to,be where I am now
i wanna wish a, big happy birthday to my,cousin i love you
i hope sabrina, enjoys the christmas with her,family and friends
I'm going to get, lit might regret it later,but you know fuck it
Your reply further, supports my position Keep,on crying baby
i bet vrabel will, play butler in the biggest,game of the season
I see you standing, there You think you're so cool Why,don't you just Fuck off
Still milking your dead, father for monetary,gain I'm not surprised
you ever just write, an answer and don't even,want to hand it in
Ladies why does a, man having to be tall is,such a requirement
Being a mom is, going into the freezer,section of Costco
Sometimes I feel like, I need to add mind reader,to my list of skills
I always wonder, who be talking down on me,when I ain't around
Today I am once, again being tortured by,graphs with stupid scales
Even if no one, knows you ate the cookies the,calories still count
Thinking of adding, this style to my commission,sheet Any takers
Thanks David I'm sure, some of these drivers think we,were born yesterday
I say that very, proud of india now i,live in india
Suiting in public, was so much fun The little,kids were so precious
our street doesn't, even get plowed and i live,in a big city
its so difficult, to go however it's so,easy to be gone
I can't believe I, once thought about getting a,La La Land tattoo
my dark circles are, gonna pop in to say hi,this month and next month
My children will grow, up watching what real love is,between two people
Science can also, be applied to the base the,information source
I never learn do, I I always screw up the,good things in my life
Happy happy to, meet you again my best friend,Am fucking happy
The shortest distance, between two points assumes you,know where you're going
If eating kettle, corn before bed is wrong I,don't want to be right
Designing clothes for, her to wear Not the simplest,task by any means
belong And then there, are unthinking animal,types who seem to be
More worrying is, princess Charlotte hasn't she,only just been born
The only thing worse, than the olympics is the,Winter Olympics
I was offered the, job in Texas I have a,lot to think about
I'm watching hunger, games at the gym and Rue just,died yup night ruined
Be my peace because, I've already got a lot,of pain to handle
Annihilation, This movie has me shook Leave,reactions below
Should've gave my aunt, a few dollars get herself,litty at the club
are you going with, them that would be amazing,to see you on stage
Had a really long, day which I will finish with,watching Scott pilgrim
Without my phone my, life feels so empty boring,clueless and awkward
A father challenged, his teen daughter which made her,an entrepreneur
my favorite fun, song is all the pretty girls,thanks for asking y'all
Im the cousin that, shows up late to every,family function
Am I the only, one who enjoys watching these,kinds of videos
I definitely, want a piece of ya Flip flop,fucking between us
so now the only, option is for y'all to do,the dance together
Showering after, the gym is probably the,best feeling ever
The only problem, with losing weight is you might,just lose your boobs too
Especially after, spending two weeks gloating that,it was a done deal
I'm going ONE more, week with my head like this and,it's all coming down
today is my last, first day of high school tryouts,where did the time go
And you wonder why, Most Black people hate us Cause,of white folks like that
If my tissue box, falls on the floor one more time,I'm gonna lose it
Bigger and better, news would be a signing of,your resignation
It's looking like I'm, about to be single for,a very LONG time
Doesn't matter what, color you're hair is you will,kill it either way
It's officially, Aries seasons time for me,to act up some more
rumours of Borders, Tex Mex Cantina Opens,in Downtown Newark
Everyone fucking, hates me I'm seriously,just a waste of space
Rewatching Lost Girl, and my bisexual heart,is so satisfied
The higher you want, to go the deeper you must,be planted Pastor
I haven't been on, Twitter in a couple of,months what's good ni as
There's a reason why, the whores always stay single,never get a man
What's the difference, between in laws and outlaws,Outlaws are wanted
Flash Ridiculous, happy new year I miss you,guys please come home soon
no one should ever, have to wonder why they were,never good enough
I like finding them, scratch marks a day later them,be my battle scars
Corey Brewers head, looks like a thumb that's been in,the water to long
thank you officer, for coming it was past my,bedtime anyways
Terry rozier, costed with his shitty shot,selection also
What works better with, tenacity Special Charge,or Special Saver
Think I'll agree with, ye just getting used to the,setting and layouts
Now more than ever, I'm so grateful for the friends,i have in my life
how do you expect, me to freaking sleep when I,see you not sleeping
Can we fast forward, to friday when I get paid,and it's my birthday
Every good meal, must come to an end My mom,talking to my dog
Lies come to easy, loyalty is hard to find,so my trust fucked up
I'm convinced that no, one will ever love me as,much as I love them
these twenty minute, naps between school and practice,really hit the spot
My co workers are, the cutest they surprised me,with a ice cream cake
Boiler has broken, and apparently my land,lord won't cover it
I forgot Floyd was, even there front row for the,fight The irony
I wanna go home, and watch coach carter or get,rich or die trying
I will forever, judge people for who they are,not what they look like
Some dude legit came, through the drive thru and asked if,I had a boyfriend
Reasoning Always, Happens Always On Cause And,Talks Happens On Facts
In other news I'm, jamming to ViViD on my,walk up to campus
Guess what I'm gonna, be busy with my stuffs till,i don't know when gulps
I go above and, beyond with everything for,nothing in return
When enough people, make false promises words stop,meaning anything
I often plan on, doing nothing constructive,disappoint myself
Nigeria is, a jungle Everything is,designed to kill you
i love haven so, much i can't even explain,it like so lucky
Rest In Peace little, one in the presence of your,Creator JESUS
Support my account, was hacked into by someone,in Iran please help
Fed up putting in, effort with people who just,don't do the same back
Any dude that beats, up his mrs is a cunt,No respect for you
Brendan all of them, desires you because you,are responsible
I'm just going to, ignore everyone today,It's one of those days
Over sleeping for, the Palace X Ralph Lauren,drop is not the one
Men really ain't shit, until they decide to do,something about it
Man fags will never, prosper especially not the,UnderCOVER ONES
I can't believe I, had super long hair what the,FUCK was I thinking
It's a feeling I, don't understand when my heart,starts beeping for you
our power went, out and i had to take a,shower in the dark
what started out as, an enjoyable thought turned,into a nightmare
L We also have, good hearts Sis Maybe our,brains differ in size
Listening to your, family fight for hours,is just so much fun
I'm sorry but the, sign language during songs get,me every time
You will always be, in my heart no matter how,far we are apart
Okay but how you, do this Asking for myself,when my hair grows out
It's a journalist's, job to question everything,That's what we're paid for
Create in me a, clean heart and renew a right,spirit within me
i will never get, the courage to ask out and,so guess i'll just die
Damn people really, be out here having their shit,together One day
WILL YOU GO AWAY, YOU MALIGNANCY ON THE,BODY POLITIC
today wednesday i, need friends that like getting dolled,up and going out
whenever Kenya, hold my niece my heart melts I,want babies with her
i'm going to cry, all these concerts seem so fun,i wanna be there
Maybe asking the, following does this lady,look oppressed to me
Christmas is a race, to see which gives out first Your,money or your feet
I hadn't I would, rather be a ninny and,to a five o'clock
I am not going, to read the letter I don't,want to cry again
Can someone slap me, on my behalf I'm in need,of a wake up call
Anyways Michael, B Jordan is one sexy,ass bitch Hoe my god
I've never entered, Black History Month with this,much pride than right now
Ya boy finally, made it god blessing me with,opportunities
there's never a right, time for things you either make,it work or you don't
so much to comment, on in this photo A lot,going on for sure
elissa Rite mate, this is getting sad now leave,our lass alone
You should be writing, like a crypt fleeing from an,initiation
Fu king CHURCH Pushing, it's SOCIALIST AGENDA,again IDIOTS
So glad I'm Lucky, enough to never have to,watch my team on Sky
now that's a package, to keep your eyes on I'll meet,you in the showers
Can someone please be, happy for me or is that,too much to ask for
I'm not satisfied, on what i've done I know I,can do more than it
your husband freaking, called you needy watch out he,may be abusive
Human behavior, Let's just say can learn a lot,by watching people
Sometimes I just look, at Brandon and think how did,i get so lucky
The Mediocre, Non denominational,Palace of Mercy
I can't believe y'all, be sleep on take truly don't,know shit about shit
This how they always, die in horror movies just,be oblivious
Fuck all u Micheal, Weston was the best spy in,TV history
Al Sharpton needs to, go back to the quarters and,shut his stupid mouth
Yeah I'm dying to, see it Hopefully I'll get,to catch a preview
I would rather have, bad times with you than good times,with anyone else
Daily fact Eating, ass takes the fear out of you,I highly suggest
divine dead soldier, libido edge genetics,giant right assert
he's gonna have a, bad day if he ever thinks,about crossing me
I'm so ready to, graduate move the fuck out,of Mississippi
i could listen to, nice for what for probably,one million hours
I maybe don't have, that much friends but the ones I,have are the real ones
I bought miracle, noodles the other day Can't,forget about those
A lot of people, have high hopes for me and are,relying on me
Good morning The world, is an awful place and we,should probably stop
Hello am I still, standing tall You know I don't,need to answer that
The most sensible, thing I've ever heard from you,since your resurgence
Twitter is getting, cancerous i just gonna,move back to myspace
sigh I wish our, recruitment would hire more,deserving people
can I wear only, a sports bra at a concert,asking for a friend
I hate missing soo, many people and looking,on old memories
Early rest is in, order today But for the,lucky few I guess
Experienced they, worst practice of my life in,a long time today
Bible study was, just what I needed tonight,God can still use me
I'm so stressed tired, lately Lord knows I need all,the strength I can get
Birthday dinner with, all my favorites tonight,I'm so excited
On PC with the, scan it won't work on my phone,trying to scan it
Landry Jones vs, the Browns This is why I got,out of bed today
every time im, down to a pack or two of,blunts they disappear
Thought i would never, be saying this but DAMN i,want a beer right now
Fake tweet by samsung, No call no assist till now,receive by samsung
Such incredible, races to World Record runs,you guys are awesome
eriksen has a, demon of a right foot can't,give him that much space
i won't be able, to sleep for a week and i,blame jeremiah
No it's Christmas I, apologize Tommy I,love you no homo
Woke up early to, snow again it's pretty but,I'm still over it
Let's talk about GOOD, things What's something that never,fails to make you smile
The hamburgers wrapped, in the silver foil back back,in the day status
Kinda makes you want, to go to the local flea,market in London
Do you ever have, the feeling that you always,have to do laundry
Please do yourself a, favor and follow this Queen,she promotes self love
Now they're coming for, ros 's body bitch I'm not,letting this one go
i want a puppy, a little sibling something,i need company
im not pressed about, going to parties until,it gets warm outside
Thinking about me, being home all summer makes,me cringe a little
Meeting explained so, many of my Ls but,we on in some months
ALWAYS REMEMBER, THAT I'M SO PROUD OF YOU AND,YOU CAN'T CHANGE MY MIND
I'll NEVER cheat on, Jessica my nail tech IM,IN LOVE WITH HER WORK
Everybody does, the Viking clap It's just called,The Clap at this point
If you didn't want, to be a mom you shouldn't,have opened your legs
Hello police my, boyfriend just smacked my butt with,a copy of Dune
Having ur nails done, is so weird how do people,do this all the time
Always doing good, for others but never get,the same in return
Especially when they, make these really technical,complex creations
Damn somebody's truck, just got repossessed from the,Metra parking lot
She might be single, but somebody fucking the,bonnet off that bitch
i hate when something, good happens and i still find,the bad in it lol
Happy birthday to, the walking bucket Enjoy,your day my brother
Trying to be a, big brave Sue sitting in the,dentist's waiting room
Nothing sums me up, more on nights out than the song,Dancing with myself
Never hung up on, bullshit I can't afford that,type of luxury
I been getting fucked, over a lot lately but,I know GOD got me
growing up watching, as told by ginger have sucked,a few years ago
like what's w, all this filler shit give me,money already
We must be able, to say No with no need to,explain ourselves
Any idea, when the combine windows and,dates will be released
just followed me back, and I feel like I'm an OU,legend by proxy
Happy birthday man, Love your work and hope that your,birthday treats you well
I'm ready to spend, my day crying and watching,jersey shore let's go
Memories Still Same, But All Are Fake Oh God What,Kind Of World Is This
Soo weird when people, don't like it when you treat them,the way they treat you
Roy Harper Speedy, back best episode of this,season of Arrow
i miss my sandwich, i wish i had a sandwich,that never ended
Sadly there's really, no other explanation,for what they're doing
A person in class, Did they even teach you how,to count in Sudan
whacking out the tunes, across Warrington campus,it's good to be back
I won't disagree, necessarily but I,can't stand him so NO
He was a runner, and ball crossed the plane This is,so stupid this rule
How do I return, some product as I can't find,the receipt Help please
Can I use someone's, Tidal account to watch a,documentary
In the middle of, taking a final and it,submitted itself
congrats on all your, awards and nominations,this year Well deserved
The phone was taken, for assessment and he was,told the phone was fine
Finally a full, day off to spend time with my,husband Thanks blizzard
too many pretty, faces with fucking shitty,personalities
nobody likes the, update so can we just have,the old snapchat back
I never win shit, at work when we have games I,am mad about it
i'm never coming, back to isis house woke up,to my truck gone gone
can g allow pic, tagging again im trying,to shoot my shot thanks
It is immensely, satisfying to watch the,domino effect
Oh Goldberg's suit is, definitely gonna have,some burn holes in it
Echo Moving them, on to misbehave elsewhere,is not clamping down
I pretended to, want lean once just to see if,anyone had it
my professor said, extra credit just to get,the class attention
I GOT THE HARRY, STYLES TICKETS IM SCREECHING MY,DREAMS ARE COMING TRUE
What happened Middle, school not going either Bummed,Have a great practice
when people doesn't, recognize you as someone's,someone respect please
Reusing nipple, covers from yesterday if,they don't last oh well
I can't believe that, Subaru leaving JE I,hate this kind of news
I always gotta, triple check to make sure I,set my alarm right
Facts would still nodding, off like some molly ain't scared,ain't nothin' new drip
nobody catches, my attention and when they,do they blow it lol
if i cant listen, to music after i die,im gonna be pissed
Damn I miss being, able to elevate and,hit a volleyball
ALWAYS BELIEVE WHAT, YOU ARE AND WHAT FATHER HAS,THE SAME LOOK LIKE YOU
You're the only man, I want and desire for,the rest of my life
but i also love, the old dc comics hm,i stand for both sides
lawless But white males, always know what is best for,women Get with it
I LOVE HIM friendship, goals why he so fluffy and,have that deep as vice
It's the little things, that truly matter Little,things lead to big ones
Yep My new student, Putting her down he took his,goggles back Let's go
I really wanna, treat myself by getting my,favorite perfume
People say a lot, when they don't realize how,much you're listening
I really want to, go home i don't even care,about the money
rolling another, j night everyone and hell,of a season leafs
I think Hated In, The Nation is the best black,mirror episode
abs waist hips, lisa damn quadra kill for,drew and drew only
Not everyone wants, their story told some just want,their nightmare to end
I forgot how much, of a banger City of,Evil is hot damn
It's the worst feeling, failing and knowing it was,all your fault you did
I have this weekend, next weekend request off but,I forgot what for
When you're still salty, that you were too short to make,the basketball team
and I cant believe, i'm so SOFT right now that i'm,using my english
Nintendo Online, cannot be defended This,is ridiculous
It's raining I don't, really have a wet weather,walking ensemble
If this post appears, on your news feed please leave a,short message for me
Senior Night for boys, Soccer Would love to have some,students come get loud
Damn back reading is, harder this days because of,this reacts and shit
DEFINITELY i, already saw so many,people using it
Isn't Matt Damon, getting roasted for saying,basically just that
unless she made a, grammatical error which,she did anyway
Don't always read what, you believe and don't always,believe what you read
Sometimes I just want, to tease and talk dirty to,people in Spanish
every time new, york state of mind plays in the,club i get emo
You girls get along, now i don't want nobody,in jail or nothing
I wonder if we'll, ever find each other in,the same path again
such a beautiful, day and I'm inside fighting,tears Send food and hugs
I just really want, some apple juice but have no,way of getting it
The faint sensation, of attraction together,with a privacy
I Gotta Be More, Strict On Myself When It Comes,To Sleeping At Night
I rather wait for, someone amazing than go,with someone who sucks
I remember when, my brother used to make these,stack of sandwiches
AMC Aaron, can have attachments like Ash,in The Evil Dead
ladies Why it is, so difficult to take a,picture standing straight
Ever since daylight, savings my sleep schedule has,been super messed up
I wonder if I, tried to do the same if you'd,see through all the lies
Curry didn't pick, Boogie cause he knew this was,gonna happen damn
Still worried about, the Patriots you fake ass,part time fans or nah
Only go out of, your way for people who would,do the same for you
Solid Were you two, celebrating anything,special together
She wanna party, forever she don't wanna,party together
Anything she put, her hands on she made it with,love for the people
No Mueller himself, should be investigated,and prosecuted
When we finally, need Portland to win they lose,to freaking Dallas
I didn't want to, spoil yourself like these Highland,bandits were so hard
What do people put, on hamburgers I'm in a,store and I'm blanking
The era of burnt, offering is long gone We,shall not accept this
I'm pretty close to, beating God of War but I,don't want it to end
Someday someone will, accept me for what i am,and for who i am
t you're going all, the way out into the woods,for that can I come
I really would love, to go to Giraffe Manor,I would be content
Products Now I've stopped, receiving the voice updates,is anyone there
If someone poops pink, poo they have been eating too,much strawberry moose
I hate those people, that always wanna still your,spot light like damn bitch
election day is, tomorrow everyone get,ready to vote thanks
The devil has been, trying me all week long but,not today Satan
Don't u wanna come, with me don't u wanna feel,my bones on your bones
People like this are, the reason America,is the way it is
Pot holes in Texas, be knocking sonic rings out,your car like for real
I'll break your wallet, I want to ruin you Send,everything you have
I don't like bitches, either when I'm on mine The,whole world can suck it
I like my profile, pic because that house make me,look diagonal
thank thank you Mr, President for taking care,of my family
Had so much whiskey, last night Almost woke up with,an Scottish accent
WHY AM I ONLY, FINDING OUT NOW THAT TAG DRESSED,UP AS HARLEY QUINN
Fleetwood the whole paul, family has been in the,garbage for a while
Opinions are not, facts How does this not make sense,to some people Lol
they try to romance, me but you get that nasty,and that's what i want
Finally on my, way home I just want to be,lazy and get fat
Terrance Gore has one, career hit which is just a,phenomenal stat
Ugh I wanna go, home already I need to,clean my room and car
for some reason it, kind of hurts when people leave,me on read open
The opening scene, to Performance always gives,me anxiety
any tips on how, to defeat or reduce your,imposter syndrome
i'm already your, one true weakness so let me,see the rest of you
When GOD go really, bless me I'm running with it,I ain't looking back
you ever look at, someone and imagine how,cute ur kids would be
We look better this, week Which is a good thing Let's,get this W
It was Sgt Hot, Magenta that used a lead,pipe to break the glass
Oh shoot I forgot, we will do it tonight for,family worship
this trick samara, used to always be throwing,up the next morning
So many plans lined, up for summer now n I,fully cannot wait
There are some people, who if they don't already,know you can't tell 'em
Im so fucking broke, that I cant see more fucking,hope inside of me
and it'll be the, last because i m Gonna,fucking slit my throat
Warriors are a, name brand for the NBA,now more then Celtics
Happy Veteran's, Day Thank you to all who have,served and are serving
happiest I've been, in awhile thanking God for,his magical ways
I actually, hate this bitch more than I thought,I already did
idea rather, than studying for finals,i should dye my hair
Hey look at Baby, Antonio Brown aka,Anthony Miller
It's called spouting too, much hot air Politicians,should be used to it
True Story listen, up metals rigging is not,a conspiracy
Spellman is too big, for them to be going in,weak to the hole man
Anyone wanna, get Waffle House No Okay,cool i need more friends
I finally get, to lay down for a little,before I study
People make time for, what they wanna make time for,don't let them fool you
Beauty is the mark, God sets upon virtue Ralph,Waldo Emerson
you're the one person, i could never give up on,you have my whole heart
Right under our, noses Damn Canadians,taking our jobs
Arsenal winning, proving match fixing still rife,within Italy
You ever been slapped, so hard your contact rolled to,the back of your eye
morning when I come, home today im finally,gonna have ac
The importance of, a vote has never been more,clear in my lifetime
Looking forward to, having my first thanksgiving,at the crib Thursday
To always believe, that something beautiful is,about to happen
My skin is playing, me right now this better b,an April fools joke
My job is sending, me to an event with an,open bar tonight
Stop asking for my, opinion if you don't like,what I've got to say
Gusto ko mag eat, sang freshly and newly baked,na bread or cookies
Wit and humor can, only get you so far You,have to level up
really wish people, that are rebounding would leave,me the fuck alone
Hands down caramel, nibbles are the best chocolate,out there just saying
Damn mahogany, a wild n out girl now She,getting that BIG bag
focus on yourself, and all these will follow peace,love career wealthy
I stay up Writing, poetry Sketching visions,Of revolution
Our neighbor came, over and mowed our lawn,he wasn't drunk tho
Watching Army Of, Darkness then might play some more,God Of War later
Phoenix This will be, an amazing show for a,great cause Buy early
Is it to early, for wine because the nail shop,is tempting me lol
How emotional, we are and how much we care,whenever we love
Bugger that if I, had the money I would spend,it on other stuff
The only those who, make bread is this improvement,of politicians
no please delete this, I can't become obsessed with,mini food again
i love watching them, talk without understanding,a thing they're saying
now listen what's the, point of hiding his hair if,not for a comeback
moving is my least, favorite thing in the world,besides the dentist
Enjoying the live, streaming while looking at the,sky through the rooftop
For anyone that, questions me for giving hugs,instead of shake ups
Being who you are, is better than making them,look at what you are
If you're not trying, to be your best you're a waste,of space in this world
This is a very, addictive feeling when you,have that one person
In what universe, was the Harper government,neo liberal
Ever sit back and, realize damn i just did,the most for nothing
If I encountered, this even a little bit,buzzed I would eat shit
i trust eye contacts, voice tones and actions Why i,do care about words
I wanted a bite, and I bit it I swear it,ain't hard to get it
I warned her about, how fake it is so this should,be interesting
plane crashes sorry, this is not the time to talk,about air safety
Somebody hit my, car w their buggy,at Walmart awesome
We are nothing like, we used to be So far from,good you are to me
don't let lebron get, an open lane and Tatum,being in the paint
im super scared but, studying abroad at some,point sounds like a dream
Everyone has hot, moms in this fucking show like,goddamn who to pick
DOW officially, down on the year and erased,all gains for this year
Used to living in, cramped spaces Makes them feel at,home Would be my guess
It's always nice to, hear the birds outside despite,it being dark out
The saddest moment, of the last decade is when,Fergie left the Peas
Lady your boyfriend, is ugly as shit So am,I but he is too
I always wanted, to be the super villain,never a hero
is anyone here, color blind or know someone,who is color blind
BEAUTIFUL CHRISTMAS, PICTURE OF THE PRESIDENT,AND THE FIRST LADY
I like Charlie and, Joel as friends They're having,a beer together
I don't recall one, good or worth to remember,moments with my dad
VS AE socks wine, food and adventure are the,key s to my heart
All the pretty girls, are always small or lacking,a really big butt
Surround yourself with, people who make you happy,Your smile is so cute
Allow me to step, away from this bullshit so,I can rethink life
Take note NBA, players if this old man can,do it you can too
Bud light like water, know matter how much you drink,you still feel the same
I need too Given, what I'm dealing with right now,it will have to wait
It's like knowing u, always going be scared of,something not nothing
Couple great streams in, a row Lets keep it rolling,tomorrow morning
i was trying to, avoid being stressed but i,guess i cant help it
Okay I Will Sleep, Now Good Night You Wonderful,People I Love You
I want today to, go by fast so I don't have,to work tomorrow
Today is Spanish, Fool's Day so be warned of things,you hear from here lol
The hubby is gone, for the weekend on a guy,trip feeling lonely
Even the Browns fans, on my timeline are laughing,those poor tortured souls
I really like the, Kenyan accent I think it's,so cute and unique
The holiday stress, is setting in early this,year apparently
I seriously, just heard a that's what she said,joke at my dentist
happy christmas God, bless you more and be stronger,more than yesterday
The security, guards really be chatting like,bro leave me alone
I can't stop thinking, about this nap I'm going,to take on my lunch
If a banker comes, to offer you money shut,your door in his face
I'm a Respected, Officer I Don't Drink Drugs,and I Sleep Early
She's really letting, her friends tease while she stay mute,I'm tired of her
Cannot believe I, jumped a fence now I got a,big bruise on my butt
I've started training, but I suddenly crave for,sweet things Which is bad
I weep for our, dear country Nigeria,May God help us all
Nothing is going, right for me and I'm on the,way to get weighed so
Campus events make, me realize how old I,actually am
new to your channel, not too long ago but been,loving your content
So I'm dog sitting, I think its only right that,we watch Scooby Doo
everyone is so, beautiful i can't feeling,the love for my friends
Anyone want to, go to the WM Phoenix,Open on Thursday
happy last day of, work then i have a FIVE DAY,WEEKEND UNHEARD OF
Yeah I thought about, this yesterday But I changed,my mind he caused it
i cannot fucking, believe ms naomi had,done this crazy ass
she's so beautiful, and their strongest vocalist,but she gets paid dust
I wonder if I'll, ever have another phone,that isn't muted
I love talking to, you Although sometimes I do,not have what I say
I can't do Shakespeare, accurately with only,six hours of sleep
Pirate You wanted, to turn off your brain right That,sure looks like it would
hello mike did you, get chance to send the valley,print yet in the post
I think about ma, baby west all the time it,still feel like a dream
moving soon and i, can not wait to start the next,chapter of my life
Sometimes people get, close to you and play you to,get what you're close to
me i hate crushes, my brain me don't my brain my,brain how about two
Trying to tone down, my pride is the hardest thing,I have ever done
David is going, to shit bricks tomorrow when,he get this info
